plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8602-12705	1	1	1-211074	247.4626868	39.76651093	0.0318464	247.4627058	39.76652453	0.0318518	3.8	21.946	-20.733528	10.29746312	0	0	L10	1	9.510229
8603-12704	1	1	1-135030	247.8938766	40.56559732	0.0273289	247.8938744	40.56558446	0.027322	4	21.832	-20.639084	10.41758308	0	0	L10	1	15.954329
8603-6101	1	1	1-594493	247.1593335	39.55126603	0.03035	247.1593343	39.55122635	0.0267179	3678.7	24.776	-21.388388	9.411505882	0	0	L10	1	5.531318
8604-6102	1	1	1-210863	246.0734555	39.21103947	0.0300181	246.0734618	39.21104482	0.0300075	4	21.915	-20.641027	10.47458161	0	0	L10	1	9.045615
8606-12701	1	1	1-95585	255.0298698	37.83950214	0.0633343	255.0298817	37.8395107	0.0633216	3.3	22.498	-21.671755	10.80467419	0	0	L10	1	4.207768
8609-3702	1	1	1-446720	246.0831436	15.46339249	0.0895801	246.0831459	15.46337398	0.089584	17.2	23.53	-22.00358	11.02212747	1	1	L10	0	7.943094
8612-6104	1	1	1-95843	255.006946	38.81600935	0.0355774	255.0069638	38.8160305	0.0355833	4	22.066	-20.768019	10.3276559	0	0	L10	1	6.4641213
8613-6102	1	1	1-177135	255.6381011	33.51663954	0.0863756	255.6381011	33.51663954	0.0863873	9.2	23.225	-22.681433	11.32834412	1	0	L10	1	13.835224
8614-12701	1	1	1-177177	255.4713017	35.05110299	0.105097	255.4712969	35.05109887	0.1088167	28.6	23.93	-21.74378	10.90692184	0	0	L10	0	7.87476
8614-3703	1	1	1-546819	257.0013711	36.34442082	0.0362362	257.001345	36.34442	0.03624	7.7	22.3669	-20.833069	10.59316799	0	0	B12	0	3.9789658
8614-6101	1	1	1-177061	256.7570816	34.38927648	0.0705433	256.7570252	34.38926778	0.0705571	4.2	22.701	-21.300829	10.47232457	0	0	L10	0	7.88769
8615-12703	1	1	1-289865	322.0485769	0.299884815	0.0524952	322.0485685	0.29988348	0.0524656	15.2	22.992	-21.728111	10.93828623	0	0	L10	1	7.59865
8615-12704	1	1	1-550913	321.4431591	0.93108017	0.135009	321.4431636	0.931070696	0.1350185	641.5	25.481	-22.240564	11.090808	1	1	L10	1	4.7127686
8615-3702	1	1	1-635590	321.0544137	1.11838476	0.0494476	321.0543951	1.118381386	0.0482772	12.8	22.843	-21.442938	10.8304237	0	0	L10	1	#N/A
8619-6101	1	1	1-113789	322.6918015	10.62432607	0.0617617	322.6917788	10.62432868	0.0617349	18.5	23.224	-21.725254	10.9419213	1	0	L10	0	6.1555176
8624-12701	1	1	1-23372	259.1639183	59.25371149	0.128108	259.1639557	59.25380235	0.1280956	13.5	23.755	-22.243425	11.11494923	1	1	L10	1	9.32924
8625-12704	1	1	1-24142	258.8457261	57.41118388	0.0273026	258.8456798	57.41125478	0.0272957	57	22.985	-21.848646	10.9874836	1	0	L10	1	18.074791
8626-6101	1	1	1-634789	263.0989089	55.41467792	0.0618731	263.0989239	55.41472534	0.0618731	59.9	23.736	-21.245209	10.73797473	1	1	L10	1	6.5735507
8652-12703	1	1	1-26406	330.8166638	0.571128772	0.0300887	330.8166614	0.571106563	0.0300839	31.7	22.816	-21.318031	10.6331558	0	0	L10	0	11.233786
8654-6101	1	1	1-29590	355.2823589	-1.037567941	0.0360824	355.282352	-1.037577112	0.0361086	9.1	22.436	-21.132072	10.57857098	0	0	L10	0	6.8753014
8654-6102	1	1	1-29679	354.9900307	0.135188747	0.0601839	354.9899972	0.13518667	0.0601788	3.6	22.49	-20.566545	10.18450853	0	0	L10	0	3.6660771
8655-3701	1	1	1-29512	356.751828	-0.447387404	0.0711797	356.7518101	-0.447394005	0.0711678	9.1	23.044	-21.761984	10.88532888	0	0	L10	1	4.049692
8655-9101	1	1	1-29851	356.5370236	1.030334244	0.0925906	356.5370158	1.030302497	0.0925931	127.7	24.431	-21.419254	10.78314508	1	1	L10	1	7.037602
8656-12705	1	1	1-287790	7.387000895	-1.095699615	0.0585413	7.386969062	-1.095696953	0.0585102	5.1	22.616	-21.543207	10.77438815	0	0	L10	0	10.9564705
8656-1902	1	1	1-31374	6.313072181	-1.111757274	0.0379023	6.313073524	-1.111749917	0.0379047	3.1	22.012	-20.965986	10.46963918	0	0	L10	0	5.910871
