plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
1574 2 "[0.047775438383198504, 71.96924224298756]" "[0.047775438383198504, 71.96924224298756, 768.3687659060572, 861.8958349942981, 881.6902562680973, 883.666353518498, 981.9236715170396]" "[993.3711192057352, -73.15491825325073, 854.3099152330082, 0.0008617672246563537, 59.62979140286861, -184.36724993435323, 990.1301251653802]"
1620 0 [] "[2245.3298093663716, 2453.419988834852, 2679.072828782329, 2953.22111469983, 3014.862601977217, 3056.3532130806857, 3192.287013121482]" "[inf, -571.5665824488285, 208.5056151070711, 316.376439493638, 180.68801360563606, -554.2604337068084, 423.70002505188853]"
1633 4 "[169.74650984173218, 122.29766895300395, 0.19371418946270336, 71.77253128756968]" "[0.19371418946270336, 71.77253128756968, 122.29766895300395, 169.74650984173218, 803.2158416820615, 842.3266962858719, 962.3936676673677]" "[-167.61422777508622, -0.9319815535438676, -611.2328255427522, 470.7409822698491, -66.36164276934093, -0.0005587314707656006, -213.3611601944608]"
1648 2 "[108.89691697443797, 0.27107641935664406]" "[0.27107641935664406, 108.89691697443797, 312.98939319236547, 1403.275146620761, 1519.8580181685818, 2688.3829363819973, 3426.8946615353]" "[inf, 7.950569178250572, -2.922743097737103e-05, 207.90158571961982, 190.165463612494, 205.86116665975464, 849.5681490828366]"
1651 1 [0.10116929278671202] "[0.10116929278671202, 603.850625397004, 2185.5249276563645, 5908.770400240079, 5993.233889418907, 6249.071467277054, 6624.9592746055305]" "[151.0903094140467, -37.767394307595794, 230.2679501738724, -0.001214270156925458, 141.86989356388418, 135.4102417618808, 466.76446912135447]"
1663 3 "[75.68444582844155, 60.43062797580643, 204.42710902054998]" "[60.43062797580643, 75.68444582844155, 204.42710902054998, 362.14605533393944, 835.621495831974, 1013.3554956374567, 1205.753195100637]" "[668.5019407562321, 302.5108460061407, -85.80535931138633, -185.058847372874, 438.19257101053057, 352.53964305360677, 389.37216664110184]"
1698 1 [0.0417619952661326] "[0.0417619952661326, 318.28469712479284, 598.5232465863065, 672.162198304517, 952.8333206675794, 1341.9502350188063, 1854.1512376343303]" "[-19.17796038715538, -228.5381343337595, -96.95958372780677, -3.1489506332880364e-05, 378.22240948042275, 248.56924609899522, 160.81000706002118]"
1724 1 [0.17849426832523113] "[0.17849426832523113, 1053.7430035357083, 1239.0308850891233, 4630.0473928835245, 4832.848817429107, 5103.270349997371, 5254.599219184425]" "[-67.19899923483896, 57.216306789846534, -95.40078473003078, 81.156330307783, -238.94711346708107, -2.4036883343147077, -128.73768069991337]"
1729 1 [58.453758039592245] "[58.453758039592245, 532.2750497696883, 533.2431889476031, 650.5088922611243, 765.8233343118311, 860.0614385872809, 1024.5862072211569]" "[-89.90516473283596, -957.7097977932615, -459.8185100238395, -385.19970374806945, -509.68425223674603, 443.5298433426993, 276.2288822009789]"
1743 1 [0.19509048732573916] "[0.19509048732573916, 684.2141358389343, 712.3358689604476, 714.9193459107861, 749.5330792958779, 884.0961230898881, 903.809510711721]" "[-3.2698507569895576, 285.3617763200088, -298.7788180478082, 507.41119019993977, -162.95860811543628, 428.8209935701026, -159.71761407508117]"
1773 1 [0.2982713090786501] "[0.2982713090786501, 6321.754451123507, 8607.897283364515, 8799.319384825541, 15823.497075877955, 19444.07493410006, 24937.160155208603]" "[84.76607027227455, -316.4739059050006, 233.38273427576593, 113.35203976122312, -828.2471908906919, 80.96890289212041, 327.0789561950045]"
1796 1 [0.12426200621155783] "[0.12426200621155783, 412.2824418704947, 427.5853154438924, 502.715300659235, 629.4517610593261, 757.528052207061, 785.3084090770484]" "[227.34395280677495, 557.8873732491921, 932.4265618603717, 414.53537013689095, 344.3458479286772, 0.0008408733349805446, 602.2494563887459]"
1830 2 "[270.4905245673889, 0.0898633066391688]" "[0.0898633066391688, 270.4905245673889, 678.9307605725742, 769.2344789631217, 799.2842977441152, 813.5175557816724, 1017.4197473602518]" "[-127.79020639468455, 0.00011134259677502914, 36.537796051162246, -371.6331274088295, 741.9331130066541, -521.348736324695, 998.7444774379608]"
1855 0 [] "[352.90331516985225, 380.8405719024569, 601.1355673504571, 774.9407135554668, 784.662074631269, 820.3038388710135, 824.5099657230699]" "[-140.18464071576852, -926.0977751534934, 27.116320425951873, 641.6431883464846, -219.61021416923958, -506.3186876495834, -24.73288333611747]"
1862 1 [0.19670406079012814] "[0.19670406079012814, 2729.290914451068, 3699.259100318146, 4879.267290394219, 6415.888000129644, 6702.171180132675, 7271.803920529273]" "[468.7212033924786, 497.9459904524414, 115.09323890659492, -30.481223937031803, 681.6127430026261, -781.033795554039, -617.5501044433089]"
1882 1 [0.20238338666652603] "[0.20238338666652603, 487.0282925885342, 1209.4328102250001, 1284.6798935513748, 2197.3599522641352, 2504.3049192758776, 2838.8743518512556]" "[-794.2287471751936, 0.00018382506892264798, 839.7281145510606, 147.53130468341038, -301.0526478407748, -434.6012582286663, -778.6871644510097]"
1893 1 [0.12606632924328434] "[0.12606632924328434, 428.1851806085243, 509.13069927140054, 641.3260581057104, 644.6406656402871, 665.4346482652523, 698.6275832513123]" "[-57.94357077247464, -133.69594319261424, 39.508496411310496, 8.663474208717448e-05, 128.33317594459837, -85.40155818673037, 232.59892494788951]"
1896 1 [0.11970709917228567] "[0.11970709917228567, 376.25194200509446, 474.45263719173033, 638.1965359506779, 800.115933286349, 1049.0403814545782, 1065.669754736914]" "[0.0005902324141923508, 374.53977884359375, -156.57895713004748, -557.885942143443, -408.1703332275776, -164.3274122134326, -213.54093508810084]"
1931 1 [0.29190286236595797] "[0.29190286236595797, 2285.629206181452, 2917.2966030616117, 3007.615868985279, 3016.945517358013, 3109.3303820913698, 3501.42719961303]" "[942.3606440785907, -329.5452424614496, -466.2432681469984, 240.5681688785039, 767.8249622637413, 176.93211084286202, -610.4105454320974]"
1940 1 [0.13620471205839169] "[0.13620471205839169, 469.6277861624616, 509.03467956147944, 672.8103986482017, 891.1378485218444, 1013.3712913893295, 1046.991926622179]" "[9.62640012806879e-05, 243.84301727814628, -149.71551265186415, 571.3129657705093, 408.1710197239931, 611.0760091243352, 491.4920401839281]"
1959 2 "[0.09404487689749776, 220.7707189118917]" "[0.09404487689749776, 220.7707189118917, 1352.0731671447238, 1753.3327646066346, 2192.7858974970227, 2833.4223978925515, 3106.9197533977745]" "[-164.23984508068602, -302.15519795575483, -51.765513652649936, 0.0010458782042839215, -267.99856055733306, 942.6768851637866, -217.65035472435991]"
1960 1 [0.1791899105407151] "[0.1791899105407151, 374.9850057905229, 512.4509651917297, 822.972562094121, 938.1813373193959, 1021.5950380160937, 1072.9051409852882]" "[-0.0003542412290818024, -282.3487861180077, -401.3073392546246, 531.1183817324122, 156.5791931212326, -251.5917303387592, 319.7211391677489]"
1967 3 "[168.8463044058019, 0.09570911873081604, 130.51950408670834]" "[0.09570911873081604, 130.51950408670834, 168.8463044058019, 312.1891636512449, 318.21657337957816, 1356.6654580437078, 1394.7204901842001]" "[41.31404637421069, -852.338128405711, 954.724893298158, 0.0008652781337238149, 658.1616536523788, 19.83324714189169, -797.7862349201203]"
1996 2 "[292.2212512809086, 159.02475543633042]" "[159.02475543633042, 292.2212512809086, 706.7176980826429, 1066.0253553571924, 2068.73360684294, 2160.647294348111, 2485.855078171735]" "[-197.52498792854348, -525.5801469230245, 337.78850118623274, -421.3032297803799, -103.05369713817934, 327.26364665959375, -814.0464855375925]"
2015 1 [0.23521008920306097] "[0.23521008920306097, 561.2466717041991, 1287.2696490198907, 2562.070919974207, 3356.951954508226, 3825.206246121096, 4135.949823789395]" "[-81.71937051583193, 42.67583285801746, 172.57469530521965, -29.282722623774035, 67.85105258843936, 0.00013876082636630257, 29.84140711309649]"
2041 1 [139.8721375252909] "[139.8721375252909, 3033.1877781469007, 6287.318065031006, 10395.52824856014, 11487.9279425879, 11919.224981980698, 12237.908147278165]" "[208.13373349819443, -511.5411664345476, -294.94627181481457, -47.6791992749188, 97.14476460415982, -620.9085214944694, 202.85790446765088]"
2049 2 "[0.08690079927705956, 240.57231625224927]" "[0.08690079927705956, 240.57231625224927, 510.4548737122658, 2002.9107523195864, 2949.04951172733, 3031.4113288905437, 3214.1325343594617]" "[298.8444767634548, -107.19779933578, 233.83473758734536, -77.63126721160339, 428.82151618613074, 0.0007030617125172233, -25.27502992288993]"
2052 3 "[161.9420980892715, 0.012089311615114959, 88.85320043077232]" "[0.012089311615114959, 88.85320043077232, 161.9420980892715, 1879.6171190976365, 2222.9637127071746, 2387.1002393913454, 2607.2727736601264]" "[-183.03862688762075, -23.47495268993206, -537.9174229810847, 0.0004762309031956326, 80.93151486921184, -85.37324824218578, -364.371238312946]"
2057 1 [0.08440577783409826] "[0.08440577783409826, 3121.29800215825, 6244.41601813492, 10535.000987683841, 11536.762811889852, 12204.785108532542, 13893.578064541176]" "[209.81840749745717, -105.71280002612717, -497.8038364451015, -115.46481930951126, -823.7660861247564, 993.0221513280486, -257.41633774689683]"
2100 1 [0.12921193977902645] "[0.12921193977902645, 424.418402588601, 551.6269712359374, 913.480278011941, 1490.624905813227, 1834.4074462945127, 2207.6320008067473]" "[-104.27580984646399, 223.77934914801696, -392.7421484610321, 0.0011072961805303695, 318.2506399383811, 759.0928382627932, 748.5679837361542]"
2127 1 [0.009183133231714245] "[0.009183133231714245, 778.0439981978282, 853.2890408897787, 982.0600433733746, 1234.3751556049433, 1378.7131079399524, 1488.8702944799786]" "[79.30864860814667, -0.000776196049089946, 570.3896049998687, 250.66811159089065, 1.7682570775286002, -770.0506854962124, -135.29831720668219]"
2130 3 "[0.1145328428851898, 26.451051538679003, 115.55132283987568]" "[0.1145328428851898, 26.451051538679003, 115.55132283987568, 305.66689741904514, 441.72806376551745, 1360.3024908847437, 1432.8700615670182]" "[254.6090392691793, -207.9864608877746, 43.02417196337899, 308.6963381576689, 3.1918361989119955e-05, 485.6934778860064, 256.7756583037378]"
2158 4 "[293.1758979877751, 294.2724128150692, 0.0622166626243891, 166.6179650878479]" "[0.0622166626243891, 166.6179650878479, 293.1758979877751, 294.2724128150692, 1845.9226608405265, 1917.2549527611118, 2260.7601785650295]" "[-5.7998792935137455, -473.4679483447794, 177.5765016334827, 120.5274121884729, 0.0008522866393622351, 362.3600681190069, 26.68377082976952]"
2162 1 [0.21853637610687773] "[0.21853637610687773, 429.21453237614423, 1269.2610645593215, 1546.023204302743, 2117.7584889672844, 2302.4187848690085, 2331.485589410213]" "[-150.99142396782014, -667.316842553955, 285.18249210687304, -380.0767656403896, -0.00041353779707433574, -70.51604541513, -597.1474229965773]"
2178 4 "[159.74242781834292, 0.11735104219935645, 243.56093323234765, 198.97839517774727]" "[0.11735104219935645, 159.74242781834292, 198.97839517774727, 243.56093323234765, 403.2487437735095, 517.2384099169216, 599.8580396319095]" "[-329.16187394128514, -153.04478359399508, -370.3231683421559, -261.4963512269385, -259.836765719024, -0.0010691508181036626, -446.0096487401105]"
2206 4 "[198.05917910080336, 61.001819615295794, 0.17799259308921733, 226.61510313377732]" "[0.17799259308921733, 61.001819615295794, 198.05917910080336, 226.61510313377732, 356.36727106278744, 513.9360978328609, 733.5098997693592]" "[79.89095834742646, -96.22613199986357, -28.560609285516925, -26.901023777602504, -213.07390679868894, 232.93467279060343, -137.38742640073437]"
2210 4 "[242.1317112567096, 0.09740188532694535, 61.08585898990272, 166.8903902813437]" "[0.09740188532694535, 61.08585898990272, 166.8903902813437, 242.1317112567096, 400.2048816937118, 478.13279832478753, 684.9712427524172]" "[-0.0006465212636431317, -110.48704914439551, -69.32575474352471, 106.79133560376532, 259.8350500469423, -1.660232029178067, -186.17352954235008]"
2220 1 [0.20718939118465476] "[0.20718939118465476, 1337.9655273257063, 2306.2597335258233, 4105.415104323703, 5038.159942733791, 5430.414883014624, 5686.67143019769]" "[81.12500728286723, 90.22480722801308, -148.9654669315078, -866.7015778725006, -99.04835127757569, 969.0546274581096, -55.291581290976005]"
2221 1 [0.1875576544365141] "[0.1875576544365141, 1037.2497614394424, 5925.076749859018, 6094.50771421213, 6184.063641314912, 6332.090445361572, 7752.519222449019]" "[-173.17765173703873, 86.64240943607244, 15.680051984603745, -135.41147169959987, 331.35421169191153, -247.24028467300977, 94.85769274442944]"
2233 0 [] "[1563.3364841963194, 2561.010385314998, 2770.0754878977054, 2819.2764049000093, 3050.8606512824063, 3206.1219264476417, 3735.700386149913]" "[-213.39607291453558, -323.6055056817033, 5.2850301364115975, -180.05917694465296, -151.85739144946118, -87.0620805489369, -3.5020619068392014]"
2250 2 "[0.13413434028319, 97.81231372801516]" "[0.13413434028319, 97.81231372801516, 1471.1959447207046, 1954.1371939022779, 2017.3919208462023, 2052.838182609538, 2117.4518597113647]" "[89.21582607033332, 0.00026165967663479797, -563.8433562472812, -373.2590581816039, 286.8695563467093, 48.99488900301834, 273.23325819621465]"
2257 1 [0.042851943038098896] "[0.042851943038098896, 463.1767658037787, 681.708468857727, 840.0345516900771, 865.7975469578978, 1447.6779645654508, 1746.9180738391988]" "[835.5128663381951, -150.515456289394, 111.09820806387233, 689.9629734011457, 197.9662295824455, -64.11649662366341, 629.0720440185682]"
2262 1 [0.21851204171192398] "[0.21851204171192398, 1417.9467496907546, 2672.1151335322493, 3022.8119024687617, 3362.0112091902583, 3545.1040689962574, 3715.4730858940957]" "[-315.0780159362738, 828.7092095694953, -262.31972563083815, 0.0019987574333980127, 996.0168715948279, -217.95540886341382, 644.3455651236588]"
2275 1 [0.09682289391069618] "[0.09682289391069618, 1003.3632370221928, 1370.0217245319104, 1447.565458712364, 1932.8605787683668, 2143.0107003590033, 2262.6120436136475]" "[-999.3331583330602, -895.7151614122658, -784.7261925182313, -864.035617322427, -613.3667295354873, -293.64523612650936, -862.2665840488494]"
2311 1 [0.11754398277133853] "[0.11754398277133853, 1133.0103747997703, 1170.62450051597, 1220.199913708057, 1369.5636872130217, 1444.74264679731, 1461.1712069201762]" "[-329.37736532481307, -508.1748091169178, -211.58476593669053, 2.1667204036682977, 54.08740025759936, 0.00010136910976318266, 231.08453998593689]"
2323 3 "[0.18073639375140166, 165.0840043387297, 252.44032095550043]" "[0.18073639375140166, 165.0840043387297, 252.44032095550043, 420.074022045141, 546.8974908543211, 668.9972025749548, 670.6311729601318]" "[163.96963818961166, -0.0009837969265185, -131.80066356207647, 251.1883392838814, -496.1589763387016, -686.7432744043789, 173.07390539049885]"
2336 1 [0.12425408083476129] "[0.12425408083476129, 1075.3857153672047, 1217.4337820342041, 1282.1880395459036, 1298.6071198762925, 1407.129015160901, 1476.277611869449]" "[392.7442168990785, 662.4503150278144, 627.3689556909317, 616.5224587509149, 952.1228126925491, -290.0490196330136, 462.0157180524432]"
2355 5 "[190.121738775102, 123.60979137063943, 0.18436606027645958, 14.880916900040773, 69.77513047876253]" "[0.18436606027645958, 14.880916900040773, 69.77513047876253, 123.60979137063943, 190.121738775102, 345.00854334648335, 506.47377255302916]" "[304.87466162561617, 9.267304087705039e-05, -813.6345972676799, 332.2254349020793, -364.35822010358424, 883.5964747791662, 382.98909551899874]"
2365 1 [0.151587477049614] "[0.151587477049614, 421.206966581272, 457.1687405692394, 537.1078950875622, 581.3983424313654, 691.4921232126085, 778.8331574025386]" "[-710.9928281000956, -83.62483355102978, -635.8290166238799, -3.970068237931287e-05, -230.7337987418129, -300.0455051968499, -438.8051694070353]"
2366 2 "[233.4858308950968, 0.08180446019744864]" "[0.08180446019744864, 233.4858308950968, 860.3404863876606, 1270.7013573531294, 1545.5451951612501, 1624.4090105693176, 1688.677042767815]" "[70.99490937341122, -229.08629416868717, -446.15695152487484, -912.7908508720162, 273.0645219501194, -351.7169315247002, -75.16029671659203]"
2380 1 [0.15404158837039741] "[0.15404158837039741, 869.6365699102001, 1008.757643241271, 1511.432043469252, 1513.2921189311262, 1920.911085445701, 1997.4509931592845]" "[183.73098929186725, 973.1218823242392, 780.5317864306923, 253.90040884924494, 851.0474183080252, -530.239225059161, 866.5242258239593]"
2385 2 "[124.94748617571159, 0.033747386305074414]" "[0.033747386305074414, 124.94748617571159, 336.1214197177536, 2575.525460073706, 2630.0879591024386, 3061.5278442174613, 3110.434686291927]" "[482.3453708322338, -503.7365588642515, 191.64987160272818, 0.00013304273708158757, -76.00798976859527, 216.9948470513217, 403.15432830518404]"
2398 2 "[0.15606967823830317, 134.60522558816967]" "[0.15606967823830317, 134.60522558816967, 616.0602124057417, 873.2354699927986, 989.7500508244077, 1107.587745023169, 1461.9895875484892]" "[-118.82886028370712, 525.2980441790625, -60.26313751450632, 0.00014243641044739053, 421.88107376662936, 416.0825758143469, 618.7977068456813]"
2432 1 [223.97898341494513] "[223.97898341494513, 1173.4363536086817, 1367.7776426056687, 1751.3214394418192, 1821.7876905693427, 1871.4628860738612, 2205.813294708354]" "[180.42120968557106, -465.57524130495676, -484.73530117964043, -36.649447670616645, 489.9819299108307, -503.283347017758, 57.79057232955799]"
2435 1 [0.30399753515761185] "[0.30399753515761185, 1786.0691487298682, 3403.3633641954407, 4677.640483632866, 4799.466314658223, 5634.829176985492, 5719.544617686278]" "[-572.9063062415371, 617.5503399941971, -900.4588989651153, 587.0702540709127, -537.1369895204851, 0.0013735646357140926, -163.48231754609444]"
2446 3 "[152.81251963160926, 0.107898605320629, 177.27103222969873]" "[0.107898605320629, 152.81251963160926, 177.27103222969873, 331.4505628272096, 446.3972185486932, 454.0032374320414, 454.8345267327296]" "[-69.31173885943595, 147.10893278638417, -405.0952502864659, 471.8627897880017, 230.73372663673157, 92.75806580915447, -3.2404398954252315e-05]"
2448 2 "[0.044318476644191564, 259.77141765710655]" "[0.044318476644191564, 259.77141765710655, 1076.2854002999775, 1167.1321127781164, 1211.9241198297896, 1248.123137030192, 1419.3028108847818]" "[-44.31500303292497, 741.2251155503966, 305.89774443869067, 650.081930287344, 0.00017392134443899664, 97.529301266668, -261.0349808134161]"
2449 0 [] "[1394.195308524392, 1517.1405987523256, 1525.8971494641532, 1774.2507165548884, 1870.9210858394968, 2159.4374014555488, 2203.5708318295565]" "[739.3151602714167, 583.8993330295788, 437.74412693957555, 20.355021257291916, 137.2452349856602, 170.69381234907675, 33.62723806486595]"
