plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
8318-6101,1-456769,9.88489071,39.44193697,1.985384107,-2.225065947,0.00910585,9.424682183,39.08231514,1.996974468,-2.310497999,0.003534537,8.971727834,38.71104192,1.996854186,-2.318110228,0.001178812
8318-3704,1-456590,10.00283159,38.83029162,1.911653042,-1.680427074,0.0028575,9.589812632,38.4849088,1.977807641,-1.786048651,0.001110638,9.207679687,38.07569205,2.000161171,-1.786048651,0.000418864
8318-3703,1-456567,9.816476393,38.5204162,1.911386371,-1.282988787,0.000416922,9.285588797,38.02236168,1.938979506,-1.457798362,0.000120249,9.040249657,37.80391116,1.943403482,-1.457798362,8.96E-05
8318-12703,1-456914,9.36914162,38.66384695,1.891124964,-1.933710098,0.002599273,8.817350989,38.16512778,1.900372863,-2.017276287,0.000686432,8.098964691,37.55783554,1.900372863,-2.093231201,0.000141826
8318-3702,1-456559,9.189047146,38.09473063,1.907694221,-0.946275771,0.000681874,8.821759667,37.74276934,1.91284287,-0.88694787,0.000248535,8.256927833,37.15949163,1.917628765,-0.866221726,8.77E-05
8318-12702,1-457198,9.512343206,37.95987821,1.759817958,-0.23157312,0.000520676,9.06030427,37.44840038,1.793366671,-0.474824667,0.000119724,8.698643458,37.17829093,1.796956301,-0.492744803,3.91E-05
8318-6103,1-456904,10.31848921,39.26137852,1.908561945,-1.265732408,0.007106401,9.87347048,38.74646906,1.92595768,-1.342623711,0.002764004,9.47979749,38.30745198,1.93214941,-1.325567126,0.001028086
8318-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8318-1902,1-456320,9.892597471,39.56445569,1.969883919,-1.904307842,0.002384219,9.518897089,39.17683274,2.025771379,-2.175124884,0.000887604,9.140953109,38.76892375,2.038047314,-2.175124884,0.000494302
8318-12705,1-456925,10.07559492,38.68528972,1.904939532,-1.221796393,0.002978947,9.778562177,38.35848074,1.946692944,-1.549155474,0.001474523,9.369265144,37.95397923,1.95932591,-1.651099086,0.000442257
8318-3701,1-457130,9.041694521,38.51790175,1.343207002,5.995668411,0.013826352,8.62322881,38.16966551,1.288030505,6.407913685,0.008751295,8.217369969,37.82252984,1.265687585,6.494709969,0.004168101
8318-9101,1-456844,9.077862176,37.97360667,1.623493195,1.230240583,0.000503336,8.677959906,37.58230115,1.619535446,0.082854316,0.000162952,8.353582695,37.28705766,1.651045084,-0.062073961,8.85E-05
8318-6104,1-456947,9.722896428,38.30835684,1.848125458,-1.042874694,0.00146132,9.323565467,37.84226025,1.886785865,-1.430596709,0.000634765,8.88537889,37.34495123,1.890365005,-1.371994138,0.000255113
8318-6102,1-456768,10.44703125,40.67286023,1.978951931,-1.909183979,0.192110144,10.10678609,40.36129552,2.020240545,-2.046537161,0.100774959,9.612925321,39.86149768,2.038196087,-2.086045027,0.045274644
8318-1901,1-456537,9.595621613,38.13784788,1.842284203,-1.171932459,0.000734878,9.144683096,37.56744031,1.846523166,-1.410008907,0.00030585,8.768423533,36.96703969,1.846523166,-1.410008907,0.000114747
8318-9102,1-457235,10.15407742,38.81121363,1.929623365,-1.511943102,0.001808411,9.82465383,38.52609525,1.974766612,-1.745931864,0.000909775,9.382711564,38.04137892,1.998607635,-1.830581903,0.000369244
8466-9101,1-135227,10.04779236,38.65358801,1.588073611,1.452435136,0.028045736,9.684357164,38.33577275,1.558158517,1.523247004,0.014844178,9.384949774,38.04781475,1.55885303,1.659677505,0.007878096
8466-3703,1-134695,9.704513418,39.86978577,1.511794448,2.355923653,0.319336217,9.320750934,39.37881281,1.558313489,1.951035142,0.111163204,8.958888097,38.99571323,1.569575548,1.343233943,0.04569837
8466-6103,1-633969,11.23025949,nan,2.03525281,-2.013842821,nan,11.08515978,40.52686469,2.028370142,-2.081376791,0.218407492,10.89844969,40.39235185,2.019417524,-2.212625027,0.178016074
8466-3704,1-135086,10.75759651,40.70902556,1.949677706,-1.773500323,0.182001969,10.46527691,40.41866659,2.027163267,-2.096508503,0.132302464,10.19439219,40.1218618,2.039153337,-2.240588903,0.081701875
8466-3702,1-135072,10.81156543,nan,1.599610448,2.337268114,0.041355796,10.62048331,39.01834004,1.629857659,2.039380789,0.023064079,10.40032007,38.66132907,1.621513605,2.175367832,0.012254131
8466-1901,1-594453,9.936302471,40.16977999,1.235608697,6.549798489,0.592803645,9.58106506,39.45640495,1.28956902,6.380004406,0.141677307,9.286829797,39.01275347,1.304268599,6.390144825,0.049714708
8466-3701,1-135093,10.77264699,40.61044015,1.395742178,3.907910347,3.945541532,10.48040225,40.29651215,1.43975234,2.907783031,1.799997735,10.22324992,40.07862172,1.386716843,2.874633312,1.268368855
8466-12701,1-135115,9.733924581,37.90352787,1.810052156,-0.194180727,0.000341412,9.37600558,37.39299066,1.823190808,-0.596918821,0.000107387,9.003551615,37.00278075,1.833709717,-0.575937808,1.93E-05
8466-9102,1-135117,10.8412977,38.90038487,2.033424377,-2.368868828,0.004257707,10.58910515,38.55386833,2.087191582,-2.713115215,0.002660029,10.33339393,38.21604623,2.09961772,-2.740899563,0.001646488
