MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-27482,12069-12704,1-27482,11.06815627,40.61392416,1.460421443,3.004867792,1.430031712,10.8455151,40.3686962,1.686112046,0.269414365,0.789113425,10.64046511,40.24901196,1.593420744,0.307515502,0.680710812
1-275176,8455-9101,1-275176,9.933905302,40.20960144,1.219514132,6.373358727,nan,9.549960584,nan,1.245056033,6.16905117,nan,9.258572303,nan,1.259991407,5.915782928,nan
1-275185,8455-6104,1-275185,11.00937279,39.24743549,1.960745573,-1.781567812,0.002628297,10.70846629,38.94474844,2.005527735,-1.757150173,0.000917077,10.35363543,38.57782862,2.021125555,-1.873371482,0.000368576
1-275340,8254-9101,1-275340,10.89790051,39.82397159,2.008376837,-1.655892134,0.060039594,10.66057499,39.67507822,2.033780575,-2.078033447,0.041343566,10.43203295,39.50567245,2.052812099,-2.197773933,0.029537483
1-275354,8254-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-275456,8253-12703,1-275456,10.59466177,39.43999817,1.554837942,4.685458183,0.108715171,10.3247727,39.11050372,1.561707497,4.551249504,0.061029882,10.06669899,38.86437289,1.579231501,4.091335773,0.030786566
1-27571,12069-9102,1-27571,11.27059021,39.97943458,2.022281408,-2.635115862,0.05677505,11.009666,39.76707251,2.051474571,-2.59600997,0.033315012,10.73079996,39.48325437,2.083617449,-2.627825022,0.018782497
1-27599,12069-12705,1-27599,10.67931669,39.80544815,1.317786098,3.018518925,0.521625366,10.43108337,39.57503069,1.219010115,1.964345694,0.361045292,10.13985428,39.3149524,1.158009887,1.889764309,0.222907376
1-27654,12069-6102,1-27654,10.49328419,40.07700829,1.291503787,4.960660934,0.499371387,10.09058972,39.51486141,1.391370058,3.70233798,0.140684053,9.627309134,39.05607101,1.435229421,3.395066738,0.047784297
1-276544,8254-3701,1-276544,10.48755433,39.30607258,1.914334178,-1.752241611,0.008625775,10.10141421,38.91410091,1.939750552,-1.844535828,0.002749153,9.746927504,38.57490743,1.939750552,-1.851446509,0.001140395
1-276547,8254-12704,1-276547,10.2210962,39.98121852,1.273892999,5.26190424,0.531965173,9.893681545,39.33993771,1.316020489,4.334526539,0.176699952,9.52469485,38.94147941,1.31952405,3.931066275,0.079963872
1-276550,8254-3703,1-276550,9.732387788,38.6076737,1.6870929,0.238560826,0.007104453,9.318170259,38.15338606,1.686758161,0.19345139,0.00300383,8.690321382,37.54950132,1.686758161,0.229110852,0.000803616
1-276557,8993-6101,1-276557,8.674567848,39.31293963,1.341492176,6.438538074,0.025407368,8.215491824,38.75224129,1.34108901,5.596068382,0.008221841,7.869764976,38.40905843,1.359343767,5.332538605,0.003577633
1-276562,8254-9102,1-276562,9.478478638,39.22012355,1.331967592,4.750089169,0.05957598,8.970488678,38.42668277,1.343798757,3.925703287,0.013571816,8.595130168,38.01552718,1.348775506,3.826327562,0.005886283
1-276563,8254-3702,1-276563,10.48043603,39.1927758,1.875185132,-1.455798984,0.007470487,10.14460067,38.81714418,1.881147146,-1.783662438,0.004518826,9.856091611,38.49913321,1.879666686,-1.84073019,0.002481751
1-276574,8255-12701,1-276574,10.04036944,40.68470311,1.443433166,4.495856762,2.129860659,9.717627093,40.18352046,1.493770599,3.618016481,0.737672028,9.390451855,39.76423858,1.518373132,3.131122589,0.291928655
1-276590,8254-6103,1-276590,11.48550411,40.48473624,1.737788558,0.417455584,0.710650328,11.22403208,40.26682922,2.041510582,-2.444027424,0.138527908,10.9181033,40.04346283,2.086179256,-2.622981548,0.068142458
1-276679,8254-6102,1-276679,9.746002787,39.15441519,1.36774087,4.828035831,0.1137126,9.35587195,38.80341,1.408609748,4.006484509,0.039231514,9.036312526,38.56069824,1.427610993,3.910006762,0.018298654
1-276761,8254-12703,1-276761,10.23037027,40.43456649,1.221360803,6.354686737,0.802579707,9.872234477,39.86277626,1.231887698,6.123718262,0.289453254,9.559451648,39.46377573,1.238664508,6.03266573,0.1259497
1-27680,12069-6101,1-27680,11.07877753,40.34873932,1.950578332,-1.470798492,0.101888433,10.76524676,40.08193356,1.966738939,-1.913655162,0.051934794,10.26806487,39.64181423,1.967144489,-2.040024281,0.016987915
1-276843,8993-6102,1-276843,9.42927163,38.97918346,1.447281122,3.711386681,0.045781587,8.990290519,38.50328712,1.481040359,3.313374519,0.01513489,8.607494391,38.10360719,1.493210912,2.974750996,0.005835991
1-277,11759-6102,1-277,10.30308716,39.68291246,1.239713192,5.915283203,0.121859138,9.832983246,39.13934887,1.253889799,5.575370789,0.046755183,9.527800844,38.6962265,1.270996928,5.159093857,0.020619738
1-277103,8256-6101,1-277103,10.32122844,39.28360577,1.873783827,-0.659920931,0.016520803,10.09380591,39.05727826,1.903294563,-1.246600866,0.007812572,9.831569127,38.80117781,1.916674137,-1.465245247,0.004332438
1-277103,8274-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277103,8451-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277154,8256-1901,1-277154,9.228884983,37.76303889,1.805893183,-0.01297518,0.000407298,8.731907577,37.34202697,1.813109994,-0.074012399,0.000102226,8.383605746,36.84577541,1.821659803,-0.074012399,2.77E-05
1-277154,8274-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277159,8256-3702,1-277159,9.797209156,38.10445672,1.851210952,-1.213704109,0.000873368,9.469657035,37.51962693,1.885539174,-1.460184813,0.000352583,9.005318687,37.04211806,1.918753147,-1.46791935,8.28E-05
1-277159,8274-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277161,8256-3701,1-277161,10.40489022,39.11106004,1.936460495,-1.548541188,0.008807015,10.0440373,38.76200696,1.966580987,-1.695919871,0.004104392,9.697094311,38.46060024,1.975557685,-1.714774609,0.001797833
1-277161,8274-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277162,8256-12702,1-277162,9.198434537,39.93300239,1.282429457,5.997272968,0.076483689,8.696219283,39.16891713,1.281450033,6.095978737,0.017849297,8.286138289,38.6154988,1.289701104,6.197759628,0.005682514
1-277162,8274-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277213,8258-1901,1-277213,9.382092481,39.48638055,1.336652279,4.36038065,0.094244376,8.864881901,39.06122285,1.325310588,4.208265305,0.029646195,8.475687437,38.72265514,1.325447083,4.208265305,0.012864589
1-277246,8255-3703,1-277246,9.396417697,39.34982895,1.541293859,3.322773457,0.117605437,8.967724122,38.99517631,1.454140663,3.843453646,0.075894229,8.571604834,38.6116363,1.430369616,3.845036268,0.035387359
1-277249,8255-9102,1-277249,9.405834294,38.98494278,1.307299256,5.258703709,0.044206456,9.083691855,38.53140497,1.313518286,4.902635574,0.019057819,8.755512307,38.16356286,1.322389722,4.646807194,0.008606573
1-277253,8258-3702,1-277253,9.050986483,39.14353789,1.364327908,4.312399864,0.031833324,8.667552426,38.75686145,1.376435399,4.244622231,0.013213896,8.209713115,38.25037466,1.387681484,3.716094732,0.004262316
1-277254,8257-6102,1-277254,9.441605172,39.37481766,1.38279748,4.585789204,0.076551242,9.134177839,38.8595366,1.437959909,4.110302448,0.023452993,8.783236116,38.39485448,1.458730698,3.911940813,0.007670656
1-277257,8993-9102,1-277257,10.40106533,40.84911245,1.789693236,-0.139112383,0.360041979,10.20524471,40.74733307,1.933275938,-1.155479908,0.211654802,9.91803708,40.55577625,1.957630038,-1.334350824,0.128780038
1-277271,8257-9101,1-277271,9.966921084,39.31470584,1.35999608,4.536294937,0.144832113,9.53257051,38.75099947,1.383381963,4.087181091,0.04988793,9.143155875,38.32957868,1.393169284,3.963200331,0.020105899
1-277272,8257-6101,1-277272,10.31708524,39.63111583,1.39608407,4.110364914,0.274010761,10.02120644,39.21088456,1.586115241,1.839450717,0.057497443,9.729803706,38.89801948,1.69069612,0.747015655,0.01581146
1-277277,8255-3702,1-277277,9.143577045,39.9343332,1.329602361,4.782836914,0.170133736,8.71810615,39.38616593,1.34560132,3.930214882,0.054827686,8.32975633,38.98295106,1.347593069,3.821138382,0.021808084
1-277279,8993-12705,1-277279,10.98685444,42.12243782,1.342374563,3.918542862,4.200491529,10.81785234,42.08023471,1.544124603,2.055057526,2.517339844,10.63536267,42.01622417,1.712474942,1.151981711,1.939088423
1-277289,8255-3704,1-277289,9.682481775,39.06595137,1.562935591,1.50283432,0.031085177,9.233765462,38.57541054,1.589438915,0.687129378,0.009091988,8.937594596,38.26204605,1.595852137,0.436017305,0.00427273
1-277290,8257-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277293,8257-3704,1-277293,9.18984088,40.44831328,1.236300468,6.023381233,0.16276089,8.7099793,39.65794479,1.277285337,6.071323872,0.028082705,8.316927562,39.06121425,1.297108889,6.089385986,0.00797614
1-277300,8993-12702,1-277300,11.2475359,40.36964181,1.54850471,1.604410887,0.921949302,10.99090569,40.0978654,1.886058092,-1.598958254,0.151993521,10.7752477,39.96337453,1.995431423,-2.440280914,0.067905716
1-277308,8993-1901,1-277308,9.394492818,38.27526907,1.871596575,-0.974580288,0.000988857,8.921764335,37.71460133,1.879261017,-0.918038964,0.000395945,8.505661437,37.37605098,1.87963903,-0.868093848,0.000203212
1-277317,8993-3701,1-277317,10.9134639,39.50770067,1.914311767,-1.541050076,0.022196947,10.64810771,39.26656141,1.960466862,-2.248116493,0.012722728,10.31776409,38.95192325,1.966309786,-2.270815372,0.006151916
1-277328,8255-3701,1-277328,9.491924817,39.60678199,1.243793964,5.812051296,0.063279025,9.057964734,39.24752443,1.208468676,5.865572453,0.027373768,8.759069456,38.91704043,1.204495788,5.812051296,0.012833972
1-277339,8254-1901,1-277339,9.099831446,39.56670374,1.313756585,5.612035275,0.04638168,8.608731725,39.15516403,1.313756585,5.708517551,0.018135611,8.247211708,38.81783063,1.313800931,5.708517551,0.008346419
1-277370,8998-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277375,8998-9102,1-277375,9.53457086,39.31601924,1.287816405,4.488642216,0.047522565,9.135537461,38.59864684,1.324243069,4.19273901,0.013281154,8.742701702,38.10394833,1.342418313,4.018485546,0.004859159
1-27742,12069-1902,1-27742,9.577015001,40.12919913,1.215016484,5.97269392,0.225655856,9.056677553,39.57945531,1.224500418,5.823274136,0.065436809,8.608381732,39.11498623,1.229195952,5.823274136,0.022806598
1-277443,8993-12703,1-277443,9.049824656,40.87798713,1.245647192,7.019980907,0.534394205,8.733468089,40.55829484,1.221441627,6.039385319,0.256537585,8.360410968,40.18467753,1.259827852,5.357280254,0.11201311
1-277453,8257-6103,1-277453,11.13392519,40.43396905,1.548378348,1.817736268,0.606916066,10.86434879,40.2074869,1.833070636,-0.862974286,0.106635928,10.60455804,40.01485884,1.927600145,-1.662326097,0.052178005
1-277462,8257-1901,1-277462,9.181444699,37.60360972,1.828002214,-0.541714072,5.52E-05,8.690215027,37.07155402,1.828032255,-0.569471002,9.21E-06,8.400492182,36.92381573,1.827087998,-0.645037889,2.74E-06
1-277470,8993-9101,1-277470,9.259131308,39.79307026,1.293838501,6.192594051,0.08860977,8.878234975,39.5028697,1.32523489,4.873291016,0.04419791,8.562927622,39.20538856,1.370832443,4.402632713,0.021537743
1-277475,8993-12704,1-277475,9.162658548,40.06789371,1.307820082,5.98184967,0.150649429,8.850970095,39.44613954,1.335453868,5.112913132,0.055345624,8.527161351,39.04977263,1.356054902,4.766969204,0.024438174
1-277489,10509-6101,1-277489,10.30361322,39.53055713,1.233349919,5.635173798,0.167501946,9.926911506,38.94201217,1.282683849,5.633143425,0.051336261,9.513548168,38.42591937,1.294396996,5.658196449,0.016597764
1-277516,8257-3702,1-277516,11.2842671,40.13443077,2.05005455,-2.114395142,0.017269959,11.04856963,39.94462688,2.080499172,-2.287484169,0.008865202,10.71016313,39.57742613,2.107969999,-2.538086891,0.002071004
1-277521,8257-12702,1-277521,9.680724599,40.21592316,1.250710368,5.979165077,0.219255424,9.287619244,39.50976321,1.263421297,5.395368576,0.071940186,8.948109287,39.04124594,1.297790527,5.070455551,0.031118308
1-277525,8993-1902,1-277525,9.778896123,38.49479102,1.858018041,-1.187427402,0.000593718,9.388075756,38.00822539,1.878136754,-1.365125895,0.000255945,8.926551368,37.63676506,1.884405494,-1.453775167,9.47E-05
1-277533,10509-3702,1-277533,10.51624099,39.63491589,1.945368648,-1.766824961,0.005381629,10.23184109,39.40193645,1.986365318,-2.072020769,0.002306546,9.873372651,39.11033121,1.996730804,-2.199469566,0.001256285
1-277539,8257-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277552,8257-12705,1-277552,10.67044191,40.33578467,1.329035401,5.195930004,0.722437608,10.38776193,39.71343846,1.465493798,3.191973686,0.213695473,10.12721918,39.42942182,1.573656082,2.033686161,0.07257044
1-277691,8256-12701,1-277691,9.446541235,39.26890576,1.319720626,5.954089642,0.093971834,8.938467333,38.72473189,1.327893496,5.729816914,0.027437315,8.660135961,38.37470849,1.337214112,5.701865673,0.012529975
1-277691,8274-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277858,8256-3703,1-277858,10.87662308,39.54472676,1.969589591,-1.980089426,0.048295072,10.53019254,39.26327055,1.933729649,-1.564657331,0.028305484,10.15951998,38.87393082,1.917689323,-1.514300942,0.013094341
1-277858,8274-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277858,8451-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277944,8466-1901,1-277944,9.648903077,39.13033892,1.595303059,2.889932871,0.013050559,9.133679907,38.63198449,1.595735312,2.956702709,0.004160538,8.674247122,38.14577451,1.581695795,2.964560509,0.00135048
1-277965,8466-3702,1-277965,9.438908894,38.91164474,1.388667107,4.157303333,0.041315417,9.025244865,38.33372549,1.427556634,3.262762785,0.009781469,8.664195049,37.9591002,1.444156408,2.811681032,0.003590223
1-277987,8466-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-277992,8466-6101,1-277992,11.28061151,40.32364789,1.992875934,-1.909882665,0.044662992,10.95662664,39.97826244,2.005889654,-2.309042931,0.01304363,10.56930014,39.49860468,2.017995119,-2.163771152,0.002271927
1-277997,8466-12704,1-277997,10.34567098,39.80233692,1.336951137,4.305501938,0.435605364,10.0840565,39.13839189,1.405900478,3.099875927,0.133474286,9.801780243,38.70683716,1.435763836,2.620066166,0.053586018
1-278011,8466-12702,1-278011,10.36135576,39.83777796,1.320968032,5.284554482,0.413315767,10.02773785,39.17415423,1.38662982,4.346033573,0.13561291,9.734262032,38.80304935,1.436623335,3.656148195,0.059256594
1-278015,8466-6103,1-278015,10.74470945,39.43942437,1.847177148,-1.268684387,0.011060386,10.34794723,39.08773651,1.883745074,-1.724537849,0.005380135,9.954938188,38.73545042,1.885404587,-1.798814893,0.002331448
1-27804,12070-9101,1-27804,9.665458126,39.72213783,1.274420023,5.424485207,0.201938736,9.112693946,39.12334951,1.278185606,5.665680408,0.055355876,8.754487055,38.7382951,1.274715662,5.657315254,0.023251074
1-278057,8257-9102,1-278057,10.66465311,39.64024351,1.673413038,1.476331711,0.305015454,10.38338193,39.38019313,1.665512085,1.507993698,0.213110449,10.04238427,39.05768546,1.669846177,1.507993698,0.107827127
1-278059,8993-6103,1-278059,10.88624933,41.75117492,1.755026937,-0.307361841,17.62388156,10.67899232,41.56192883,1.592535853,0.469444215,12.51688979,10.46483618,41.2516092,1.703280687,-0.508847177,5.167706645
1-278062,8257-3703,1-278062,10.35926045,39.46977973,1.472701073,4.281078339,0.245991202,10.03417323,39.11635764,1.497890949,3.857759237,0.12771332,9.728943017,38.76765841,1.507251859,3.608568907,0.063386075
1-278075,8257-6104,1-278075,11.5574293,40.39120403,1.961804748,-1.738541842,0.025158362,11.2135536,40.04273689,1.998996496,-1.728369713,0.008563747,10.87473602,39.70634552,2.011837721,-1.738541842,0.002828142
1-278079,8993-3704,1-278079,11.3307058,39.03444101,1.995226622,-2.065647364,0.001815844,10.97556004,38.69742477,2.024022818,-2.329227209,0.00074218,10.68623773,38.39910465,2.032949448,-2.476848841,0.000262721
1-278081,8257-1902,1-278081,10.63436927,39.65812587,1.690636158,0.458431005,0.118472396,10.28847607,39.28326455,1.823250413,-0.796328425,0.030937425,9.88397333,38.90516512,1.846175194,-1.029666185,0.010950985
1-278113,10509-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278136,10509-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278153,8257-12703,1-278153,10.26946549,39.49736855,1.404482841,4.246322155,0.281355208,9.930872988,38.92353191,1.472085595,2.864722967,0.084155198,9.607554705,38.51549476,1.51856041,2.533898354,0.031612677
1-278159,10509-3701,1-278159,9.339130736,41.28750471,1.365785003,4.429275513,8.053450596,8.983502254,40.81880346,1.378667831,4.42786026,3.12440186,8.618210979,40.46121388,1.380964994,4.603915691,1.438141672
1-278183,10509-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278185,10509-12705,1-278185,10.6761446,41.22150045,1.662600756,0.343285978,1.71666301,10.49358902,41.02305571,1.835196376,-1.158283114,0.701467306,10.2432941,40.76366123,1.85272336,-1.345615745,0.391874069
1-278191,10509-3704,1-278191,10.62440126,39.40699331,1.457876682,3.112783194,0.27658087,10.32607569,39.10300623,1.384985447,3.500944614,0.164223681,9.911756038,38.70543818,1.380583048,3.638529539,0.067675141
1-278195,10509-1902,1-278195,8.960052916,39.68474615,1.274299622,5.385798454,0.065974925,8.471557819,39.13931093,1.285075307,4.94095993,0.020446971,8.04027849,38.69202741,1.292416215,4.738077641,0.007487061
1-278209,10509-9102,1-278209,11.28263873,40.96254414,1.940842867,-2.346208096,0.355927874,11.02077213,40.74415407,1.99515748,-2.464970112,0.119076903,10.76026598,40.52319554,2.006749392,-2.522200584,0.01683979
1-278221,8946-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278485,8256-3704,1-278485,11.07234935,40.02628201,2.026316643,-2.109467983,0.060136924,10.6433684,39.59737289,2.038208485,-2.226424932,0.020521605,10.33928349,39.30434194,2.038424253,-2.331100941,0.00949334
1-278485,8274-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278485,8451-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-278490,8451-12705,1-278490,10.17131647,39.71707952,1.318681955,5.073538303,0.304870397,9.730902037,39.20664643,1.327207208,5.059301376,0.105459235,9.392591179,38.74889106,1.351138592,4.797889709,0.042456772
1-278537,8258-6101,1-278537,9.098544351,39.71489237,1.270015597,5.715434551,0.061138302,8.682755158,39.2693955,1.303395152,5.774791718,0.021812383,8.294161554,38.83152533,1.317612767,5.19118166,0.008092247
1-27880,12070-3702,1-27880,9.715574568,39.55461279,1.32638979,5.995576859,0.062073061,9.246679208,38.99840824,1.338033557,5.993267536,0.019127631,8.642322726,38.36306851,1.338033557,6.014856815,0.004491598
1-279002,8466-12703,1-279002,9.350215216,39.7026834,1.279164672,6.436166763,0.070708577,8.94301158,39.25148823,1.270871162,6.30535078,0.025299596,8.585879268,38.89811734,1.270871162,5.878832817,0.010935467
1-279011,8945-9101,1-279011,10.01673377,39.60587374,1.307654381,4.534753799,0.156466258,9.584812246,39.11828261,1.324686289,3.922931194,0.051661626,9.218825677,38.75913042,1.325566292,3.77715683,0.022264671
1-279073,8946-3703,1-279073,10.78164575,40.12441866,1.874899149,-0.413228512,0.12154937,10.56411002,39.93431787,1.963654637,-1.040269136,0.083202761,10.2806424,39.69542014,2.025427341,-1.357168198,0.04865962
1-279083,8466-9102,1-279083,9.360616803,40.39564343,1.20976162,6.154707432,0.186332436,8.984059617,39.94567378,1.241524458,6.094516754,0.064709925,8.588009401,39.4487967,1.263083458,6.145189285,0.021341403
1-279086,8946-3704,1-279086,10.27900572,40.21421466,1.852559686,-0.719480574,0.164222412,9.942544022,39.92125998,1.905080199,-0.791791737,0.073265698,9.619261704,39.62621074,1.918679357,-0.801573396,0.036241824
1-279120,8466-3703,1-279120,11.25963114,nan,1.790133238,-0.915748,0.030020862,11.07143283,40.07880511,1.862828135,-1.635155678,0.015721337,10.87053321,39.97076794,1.930571079,-1.864445448,0.010380109
1-279123,8466-6104,1-279123,11.43289217,40.36617195,1.889675379,-1.506933928,0.141492082,11.2066789,40.17805731,1.939109325,-1.936474681,0.0936182,10.93966707,39.89291914,1.946190596,-2.004423141,0.069099108
1-279147,8946-3701,1-279147,10.55754654,40.36071512,1.577503204,1.714592576,0.17348641,10.28228198,40.18694228,1.575168133,1.996342421,0.106984539,9.905478287,39.83613817,1.57439518,2.076858044,0.048191967
1-279188,8946-3702,1-279188,9.038619116,39.96400339,1.314922452,5.248355865,0.253994048,8.507433692,39.42038402,1.309233904,5.48061657,0.084992113,8.053133919,38.97164849,1.301473975,5.697180271,0.031416699
1-27925,12070-3701,1-27925,10.81713912,40.73757223,1.401395082,3.361196756,4.214701253,10.38235694,40.17757143,1.467637539,2.429496288,1.344508466,9.990506778,39.75586928,1.501703858,2.177549362,0.504647961
1-279252,8946-9102,1-279252,11.28400433,40.84834472,1.960273623,-2.356416464,0.315406176,11.09581121,40.70632643,1.965042114,-2.397488594,0.284257681,10.92110785,40.56019715,1.961326838,-2.50535059,0.234749521
1-279279,8946-9101,1-279279,9.753608327,nan,1.251110077,6.088716984,nan,9.388509573,nan,1.289524078,5.887560368,nan,9.126481457,nan,1.292121887,5.65262413,nan
1-279314,8946-12703,1-279314,11.41239856,39.17979515,1.851537704,-0.621246338,0.007232345,11.24568292,38.93050871,1.962129354,-2.159971952,0.003215595,11.04086309,38.7288547,2.006636858,-2.654350281,0.001828865
1-279320,8946-12704,1-279320,9.147367133,40.15533344,1.307276845,5.709771633,0.197404536,8.788472217,39.749797,1.319993973,5.564897537,0.080252387,8.386999509,39.38963912,1.32569921,6.464854717,0.035374473
1-279329,8945-6103,1-279329,11.02308201,39.44795286,1.535528779,1.566587925,0.08405233,10.7520789,39.30185347,1.59773612,1.04661417,0.046623831,10.47858207,39.08035527,1.639570355,0.726856589,0.023654435
1-279381,8945-6101,1-279381,10.30687095,39.18431565,1.446733236,3.215261698,0.115827764,9.955363158,38.7559671,1.538071275,2.386449099,0.039076574,9.582220272,38.34625586,1.576530337,2.138716221,0.014003913
1-279410,8945-9102,1-279410,10.79394275,39.54400894,1.568073988,1.764462709,0.151237969,10.59691422,39.26236631,1.601559639,1.338014007,0.075411448,10.38777716,39.01583163,1.655373693,0.316710442,0.036592353
1-279412,8945-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-27950,12069-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-279532,8946-6102,1-279532,10.11084715,40.23544115,1.530547142,1.789960623,1.177321927,9.756659405,39.95295761,1.466708302,2.73713994,0.662086397,9.372445487,39.55112472,1.473369956,2.764225721,0.263092911
1-279544,8945-1901,1-279544,9.971612792,39.26547057,1.785084248,-0.752441823,0.019124667,9.563124493,38.89443211,1.820103407,-0.880932152,0.008276494,9.236275919,38.55974601,1.827119946,-0.87680608,0.003887932
1-279554,8945-3701,1-279554,10.25444021,39.49399548,1.901644707,-1.368865848,0.010879037,9.892078743,39.20964714,1.937961221,-1.779070616,0.006012221,9.589496599,38.92979255,1.93938303,-1.845469594,0.003066421
1-279617,8945-3702,1-279617,10.04177826,40.63408584,1.123168349,5.632722378,0.724086654,9.617382946,40.24409854,1.119211555,5.601331711,0.29498479,8.723651886,39.33348152,1.110108972,5.571415901,0.036891069
1-279666,8945-3703,1-279666,10.25394682,39.51989154,1.619017839,1.684839249,0.034745692,9.793021112,39.10792674,1.631501079,1.491079807,0.012238704,9.422849872,38.735092,1.632630467,1.491079807,0.00504324
1-279675,8945-6104,1-279675,10.86243561,39.80237563,1.953721046,-1.700238705,0.030833612,10.62275786,39.52352346,1.979394794,-1.933999658,0.017430052,10.31495259,39.22073902,1.990465879,-1.916526675,0.009465222
1-279676,8945-12703,1-279676,10.77029548,39.63258672,1.634249449,1.08698976,0.069676401,10.50049574,39.45645637,1.780370593,-0.264917612,0.024233495,10.13151423,39.14978397,1.807047009,-0.622705996,0.009266598
1-279690,8945-1902,1-279690,10.79707398,39.21345322,1.950786591,-1.457152486,0.003004797,10.44677047,38.76407012,1.988704562,-2.046410322,0.001418114,10.00108804,38.32464447,1.993747115,-2.083428621,0.000605041
1-27987,12070-12701,1-27987,9.67752765,40.91187372,1.25895524,5.74945116,1.267977969,9.211701422,40.27909905,1.26782763,5.470438004,0.366794673,8.785605144,39.80684002,1.266939044,5.430363178,0.1380902
1-27988,12070-1902,1-27988,10.5666487,38.70373175,1.892476797,-1.5839715,0.002081354,10.10528106,38.30748489,1.899306059,-1.693260312,0.000604226,9.569014551,37.86524251,1.910091758,-1.645931125,0.000144979
1-280053,8945-3704,1-280053,11.5011455,nan,1.958503485,-2.025796175,nan,11.34194642,40.0758556,1.960185409,-2.065539122,0.025564595,11.15346516,39.9169864,1.961074948,-2.03772974,0.020219481
1-28008,12070-6102,1-28008,10.6726004,39.41479224,2.009072304,-2.484978676,0.011702485,10.31039929,39.05723635,2.034440994,-2.694266081,0.005028734,9.920735578,38.69003804,2.034160614,-2.405558825,0.002137692
1-280104,8945-6102,1-280104,10.99787286,40.41131153,2.014358997,-2.015678167,0.210298043,10.71520764,40.12371459,2.048233032,-2.103164196,0.12888733,10.43754748,39.8656455,2.061812639,-2.185906172,0.075875908
1-280132,10507-3701,1-280132,10.23636499,40.42639534,1.827138186,-0.087067492,0.56560128,9.875653801,39.96705789,1.842494965,-0.4229303,0.173910225,9.401439752,39.52352999,1.853182554,-0.581412673,0.05379619
1-280180,10507-6101,1-280180,10.83534659,39.91194088,1.705389738,1.271263123,0.05586568,10.60445277,39.60388025,1.776199579,0.880455077,0.033582618,10.30674669,39.28551028,1.810330868,0.593317568,0.016886269
1-280222,10507-3702,1-280222,9.873967879,39.7479682,1.505586624,3.005649328,0.45831302,9.438174676,39.22867722,1.572187781,2.073488235,0.128716003,9.126084182,38.90336549,1.60067749,1.798456907,0.055949597
1-280229,10507-12702,1-280229,9.687065943,40.142816,1.209815383,5.541958332,0.165883163,9.290345685,39.73219563,1.213509679,5.216828346,0.073825785,8.927797527,39.34620392,1.213451385,5.358821869,0.033301432
1-280245,10507-6102,1-280245,9.758229256,40.67249716,1.246834397,5.749897003,1.540775984,9.338025892,39.89529932,1.298416495,5.086774349,0.347301515,9.000826802,39.43179737,1.322692752,4.755794525,0.136118338
1-280256,10507-3704,1-280256,9.577336137,40.10662036,1.323812366,4.538051128,0.467147334,9.168533318,39.36162381,1.431380749,2.767812967,0.101999238,8.763627843,38.81845357,1.478818417,1.945029616,0.031210683
